,Unnamed: 0,date,total_vaccinations_Wales,people_vaccinated_Wales,people_fully_vaccinated_Wales,daily_vaccinations_Wales,total_vaccinations_Canada,people_vaccinated_Canada,people_fully_vaccinated_Canada,daily_vaccinations_Canada,total_vaccinations_Argentina,people_vaccinated_Argentina,people_fully_vaccinated_Argentina,daily_vaccinations_Argentina,total_vaccinations_Albania,people_vaccinated_Albania,people_fully_vaccinated_Albania,daily_vaccinations_Albania,total_vaccinations_Rwanda,people_vaccinated_Rwanda,people_fully_vaccinated_Rwanda,daily_vaccinations_Rwanda,total_vaccinations_USA,people_vaccinated_USA,people_fully_vaccinated_USA,daily_vaccinations_USA,total_vaccinations_Germany,people_vaccinated_Germany,people_fully_vaccinated_Germany,daily_vaccinations_Germany,total_vaccinations_Bulgaria,people_vaccinated_Bulgaria,people_fully_vaccinated_Bulgaria,daily_vaccinations_Bulgaria,total_vaccinations_Singapore,people_vaccinated_Singapore,people_fully_vaccinated_Singapore,daily_vaccinations_Singapore,total_vaccinations_Belgium,people_vaccinated_Belgium,people_fully_vaccinated_Belgium,daily_vaccinations_Belgium,total_vaccinations_Lithuania,people_vaccinated_Lithuania,people_fully_vaccinated_Lithuania,daily_vaccinations_Lithuania,total_vaccinations_Scotland,people_vaccinated_Scotland,people_fully_vaccinated_Scotland,daily_vaccinations_Scotland
0,0,2021-01-10,86118.0,86039.0,79.0,,323497.0,319545.0,3952.0,29749.0,136053.0,136019.0,29.0,12683.0,,,,,,,,,,,,,680566.0,678761.0,1827.0,53829.0,,,,1246.0,1463.0,1452.0,11.0,188.0,28663.0,28636.0,203.0,3947.0,23607.0,23607.0,,1979.0,166135.0,163377.0,2758.0,
1,1,2021-01-11,91336.0,91239.0,97.0,5218.0,361841.0,357878.0,3963.0,31855.0,155877.0,155838.0,33.0,14020.0,,,,,,,,,,,,,749221.0,747315.0,1928.0,57035.0,14161.0,14161.0,,1270.0,3548.0,3535.0,13.0,482.0,34407.0,34369.0,223.0,4758.0,25825.0,25825.0,,2296.0,178799.0,175942.0,2857.0,12664.0
2,2,2021-01-12,101479.0,101371.0,108.0,7680.0,393052.0,387536.0,5516.0,33767.0,175263.0,175208.0,42.0,15258.0,,,,,,,,,,,,,828403.0,826426.0,2000.0,60812.0,15780.0,15780.0,,1476.0,6356.0,6341.0,15.0,881.0,50512.0,50463.0,255.0,6803.0,27930.0,27930.0,,2507.0,194955.0,191965.0,2990.0,14410.0
3,3,2021-01-13,113094.0,112973.0,121.0,8992.0,423365.0,410079.0,13286.0,34085.0,192029.0,191973.0,43.0,16209.0,,,,,,,,,,,,,940712.0,938530.0,2205.0,67830.0,17038.0,17038.0,,1304.0,10451.0,10435.0,16.0,1464.0,72477.0,72307.0,393.0,9366.0,34140.0,34140.0,,2893.0,211397.0,208207.0,3190.0,15087.0
4,4,2021-01-14,126504.0,126375.0,129.0,10096.0,466005.0,449649.0,16356.0,34870.0,208675.0,208618.0,43.0,15984.0,,,,,,,,,,,,,1024863.0,1022464.0,2422.0,71993.0,17686.0,17686.0,,938.0,15239.0,15222.0,17.0,2146.0,96057.0,95868.0,423.0,11518.0,42830.0,42830.0,,3535.0,228171.0,224840.0,3331.0,15509.0
5,5,2021-01-15,126504.0,126375.0,129.0,8077.0,515478.0,496065.0,19413.0,35957.0,226110.0,226047.0,49.0,14492.0,,,,,,,,,,,,,1116686.0,1113366.0,3345.0,76129.0,18126.0,18126.0,,682.0,20612.0,20592.0,20.0,2809.0,119777.0,119579.0,452.0,13558.0,50212.0,50212.0,,3844.0,245436.0,241924.0,3512.0,15860.0
6,6,2021-01-16,126504.0,126375.0,129.0,6731.0,553360.0,532763.0,20597.0,36196.0,231993.0,231929.0,50.0,13874.0,,,,,,,,,,,,,1174782.0,1170239.0,4569.0,75747.0,18332.0,18332.0,,694.0,22351.0,22329.0,22.0,3000.0,125027.0,124825.0,466.0,13837.0,51320.0,51320.0,,3959.0,263797.0,260140.0,3657.0,16277.0
7,7,2021-01-17,151938.0,151737.0,201.0,9403.0,581955.0,560100.0,21855.0,36923.0,233054.0,232986.0,53.0,13857.0,,,,,,,,,,,,,1222606.0,1201047.0,21586.0,77434.0,18453.0,18453.0,,662.0,22999.0,22974.0,25.0,3077.0,128326.0,128098.0,492.0,14238.0,52460.0,51366.0,1094.0,4122.0,268689.0,264991.0,3698.0,14651.0
8,8,2021-01-18,162197.0,161932.0,265.0,10123.0,623250.0,600660.0,22590.0,37344.0,242885.0,242806.0,57.0,12430.0,,,,,,,,,,,,,1305869.0,1268675.0,37221.0,79521.0,19638.0,18524.0,1114.0,782.0,30530.0,30505.0,25.0,3855.0,139630.0,139253.0,654.0,15032.0,56996.0,54217.0,2779.0,4453.0,288468.0,284582.0,3886.0,15667.0
9,9,2021-01-19,176186.0,175816.0,370.0,10672.0,662635.0,637795.0,24840.0,38512.0,256132.0,250622.0,5487.0,11553.0,,,,,,,,,,,,,1425683.0,1352495.0,73215.0,85326.0,22226.0,19058.0,3168.0,921.0,38781.0,38748.0,33.0,4632.0,159131.0,158546.0,899.0,15517.0,63269.0,56560.0,6709.0,5048.0,314079.0,309909.0,4170.0,17018.0
